X,Y,PredictedY,Error
-1.731804,-1.731845,-1.732743,0.000898
-1.731458,-1.731607,-1.732397,0.000790
-1.731112,-1.731129,-1.732050,0.000921
-1.730765,-1.730793,-1.731704,0.000911
-1.730419,-1.730428,-1.731358,0.000930
-1.730072,-1.730219,-1.731011,0.000793
-1.729726,-1.729878,-1.730665,0.000787
-1.729380,-1.729366,-1.730318,0.000953
-1.729033,-1.729026,-1.729972,0.000946
-1.728687,-1.728785,-1.729626,0.000840
-1.728340,-1.728453,-1.729279,0.000826
-1.727994,-1.728077,-1.728933,0.000856
-1.727648,-1.727663,-1.728586,0.000923
-1.727301,-1.727429,-1.728240,0.000811
-1.726955,-1.726959,-1.727893,0.000934
-1.726608,-1.726668,-1.727547,0.000879
-1.726262,-1.726300,-1.727201,0.000901
-1.725916,-1.726064,-1.726854,0.000790
-1.725569,-1.725645,-1.726508,0.000863
-1.725223,-1.725302,-1.726161,0.000859
-1.724876,-1.724943,-1.725815,0.000872
-1.724530,-1.724557,-1.725469,0.000911
-1.724183,-1.724240,-1.725122,0.000882
-1.723837,-1.723973,-1.724776,0.000802
-1.723491,-1.723539,-1.724429,0.000890
-1.723144,-1.723234,-1.724083,0.000849
-1.722798,-1.722952,-1.723737,0.000784
-1.722451,-1.722563,-1.723390,0.000827
-1.722105,-1.722222,-1.723044,0.000821
-1.721759,-1.721817,-1.722697,0.000880
-1.721412,-1.721405,-1.722351,0.000946
-1.721066,-1.721083,-1.722005,0.000922
-1.720719,-1.720873,-1.721658,0.000785
-1.720373,-1.720450,-1.721312,0.000862
-1.720026,-1.720094,-1.720965,0.000871
-1.719680,-1.719760,-1.720619,0.000859
-1.719334,-1.719418,-1.720273,0.000854
-1.718987,-1.719127,-1.719926,0.000799
-1.718641,-1.718729,-1.719580,0.000851
-1.718295,-1.718306,-1.719233,0.000927
-1.717948,-1.718029,-1.718887,0.000858
-1.717602,-1.717654,-1.718540,0.000886
-1.717255,-1.717307,-1.718194,0.000887
-1.716909,-1.716998,-1.717848,0.000850
-1.716562,-1.716571,-1.717501,0.000930
-1.716216,-1.716205,-1.717155,0.000950
-1.715870,-1.716001,-1.716808,0.000807
-1.715523,-1.715548,-1.716462,0.000914
-1.715177,-1.715183,-1.716116,0.000932
-1.714830,-1.714944,-1.715769,0.000825
-1.714484,-1.714624,-1.715423,0.000798
-1.714138,-1.714136,-1.715076,0.000940
-1.713791,-1.713860,-1.714730,0.000870
-1.713445,-1.713538,-1.714383,0.000846
-1.713098,-1.713245,-1.714037,0.000792
-1.712752,-1.712895,-1.713691,0.000796
-1.712406,-1.712544,-1.713344,0.000801
-1.712059,-1.712129,-1.712998,0.000869
-1.711713,-1.711742,-1.712651,0.000909
-1.711366,-1.711390,-1.712305,0.000915
-1.711020,-1.711128,-1.711959,0.000831
-1.710673,-1.710792,-1.711612,0.000820
-1.710327,-1.710463,-1.711266,0.000802
-1.709981,-1.710060,-1.710919,0.000859
-1.709634,-1.709780,-1.710573,0.000793
-1.709288,-1.709298,-1.710227,0.000929
-1.708941,-1.708972,-1.709880,0.000909
-1.708595,-1.708583,-1.709534,0.000950
-1.708249,-1.708340,-1.709187,0.000847
-1.707902,-1.708058,-1.708841,0.000783
-1.707556,-1.707665,-1.708495,0.000830
-1.707209,-1.707283,-1.708148,0.000865
-1.706863,-1.706968,-1.707802,0.000833
-1.706517,-1.706535,-1.707455,0.000921
-1.706170,-1.706164,-1.707109,0.000945
-1.705824,-1.705818,-1.706763,0.000944
-1.705477,-1.705484,-1.706416,0.000932
-1.705131,-1.705213,-1.706070,0.000857
-1.704785,-1.704888,-1.705723,0.000835
-1.704438,-1.704529,-1.705377,0.000848
-1.704092,-1.704129,-1.705030,0.000902
-1.703745,-1.703767,-1.704684,0.000917
-1.703399,-1.703450,-1.704338,0.000888
-1.703052,-1.703055,-1.703991,0.000936
-1.702706,-1.702780,-1.703645,0.000864
-1.702360,-1.702361,-1.703298,0.000937
-1.702013,-1.702139,-1.702952,0.000813
-1.701667,-1.701802,-1.702606,0.000804
-1.701320,-1.701440,-1.702259,0.000819
-1.700974,-1.701077,-1.701913,0.000836
-1.700628,-1.700745,-1.701566,0.000822
-1.700281,-1.700345,-1.701220,0.000875
-1.699935,-1.699936,-1.700873,0.000937
-1.699588,-1.699641,-1.700527,0.000886
-1.699242,-1.699247,-1.700181,0.000933
-1.698896,-1.698936,-1.699834,0.000898
-1.698549,-1.698547,-1.699488,0.000940
-1.698203,-1.698213,-1.699142,0.000929
-1.697856,-1.697856,-1.698795,0.000939
-1.697510,-1.697614,-1.698449,0.000835
-1.697163,-1.697229,-1.698102,0.000874
-1.696817,-1.696943,-1.697756,0.000813
-1.696471,-1.696614,-1.697409,0.000796
-1.696124,-1.696140,-1.697063,0.000923
-1.695778,-1.695907,-1.696717,0.000810
-1.695431,-1.695498,-1.696370,0.000873
-1.695085,-1.695083,-1.696024,0.000940
-1.694739,-1.694726,-1.695677,0.000951
-1.694392,-1.694452,-1.695331,0.000879
-1.694046,-1.694191,-1.694985,0.000793
-1.693699,-1.693712,-1.694638,0.000926
-1.693353,-1.693355,-1.694292,0.000936
-1.693007,-1.693117,-1.693945,0.000828
-1.692660,-1.692713,-1.693599,0.000886
-1.692314,-1.692403,-1.693252,0.000849
-1.691967,-1.692108,-1.692906,0.000798
-1.691621,-1.691689,-1.692560,0.000871
-1.691275,-1.691265,-1.692213,0.000948
-1.690928,-1.691077,-1.691867,0.000790
-1.690582,-1.690596,-1.691520,0.000925
-1.690235,-1.690337,-1.691174,0.000837
-1.689889,-1.690008,-1.690828,0.000819
-1.689542,-1.689574,-1.690481,0.000907
-1.689196,-1.689212,-1.690135,0.000923
-1.688850,-1.688946,-1.689788,0.000843
-1.688503,-1.688656,-1.689442,0.000786
-1.688157,-1.688282,-1.689096,0.000814
-1.687810,-1.687863,-1.688749,0.000886
-1.687464,-1.687522,-1.688403,0.000881
-1.687118,-1.687271,-1.688056,0.000786
-1.686771,-1.686808,-1.687710,0.000901
-1.686425,-1.686522,-1.687364,0.000841
-1.686078,-1.686168,-1.687017,0.000849
-1.685732,-1.685724,-1.686671,0.000947
-1.685386,-1.685476,-1.686324,0.000848
-1.685039,-1.685030,-1.685978,0.000948
-1.684693,-1.684810,-1.685632,0.000822
-1.684346,-1.684441,-1.685285,0.000844
-1.684000,-1.684039,-1.684939,0.000900
-1.683653,-1.683659,-1.684592,0.000933
-1.683307,-1.683400,-1.684246,0.000846
-1.682961,-1.682986,-1.683899,0.000914
-1.682614,-1.682715,-1.683553,0.000838
-1.682268,-1.682377,-1.683207,0.000830
-1.681921,-1.682065,-1.682860,0.000796
-1.681575,-1.681669,-1.682514,0.000844
-1.681229,-1.681326,-1.682167,0.000842
-1.680882,-1.680959,-1.681821,0.000862
-1.680536,-1.680620,-1.681475,0.000854
-1.680189,-1.680247,-1.681128,0.000882
-1.679843,-1.679947,-1.680782,0.000835
-1.679497,-1.679505,-1.680435,0.000930
-1.679150,-1.679251,-1.680089,0.000838
-1.678804,-1.678856,-1.679742,0.000886
-1.678457,-1.678578,-1.679396,0.000819
-1.678111,-1.678260,-1.679050,0.000789
-1.677765,-1.677766,-1.678703,0.000937
-1.677418,-1.677441,-1.678357,0.000916
-1.677072,-1.677140,-1.678010,0.000870
-1.676725,-1.676722,-1.677664,0.000942
-1.676379,-1.676524,-1.677318,0.000794
-1.676032,-1.676041,-1.676971,0.000930
-1.675686,-1.675763,-1.676625,0.000862
-1.675340,-1.675327,-1.676278,0.000952
-1.674993,-1.675021,-1.675932,0.000911
-1.674647,-1.674690,-1.675586,0.000896
-1.674300,-1.674434,-1.675239,0.000806
-1.673954,-1.674061,-1.674893,0.000832
-1.673608,-1.673689,-1.674546,0.000857
-1.673261,-1.673365,-1.674200,0.000835
-1.672915,-1.673036,-1.673854,0.000818
-1.672568,-1.672642,-1.673507,0.000866
-1.672222,-1.672235,-1.673161,0.000926
-1.671875,-1.672001,-1.672814,0.000813
-1.671529,-1.671608,-1.672468,0.000860
-1.671183,-1.671324,-1.672122,0.000797
-1.670836,-1.670915,-1.671775,0.000860
-1.670490,-1.670528,-1.671429,0.000901
-1.670143,-1.670184,-1.671082,0.000899
-1.669797,-1.669913,-1.670736,0.000822
-1.669451,-1.669517,-1.670389,0.000872
-1.669104,-1.669116,-1.670043,0.000927
-1.668758,-1.668835,-1.669697,0.000862
-1.668411,-1.668398,-1.669350,0.000952
-1.668065,-1.668168,-1.669004,0.000836
-1.667719,-1.667781,-1.668657,0.000877
-1.667372,-1.667394,-1.668311,0.000917
-1.667026,-1.667180,-1.667965,0.000785
-1.666679,-1.666677,-1.667618,0.000941
-1.666333,-1.666384,-1.667272,0.000887
-1.665987,-1.666087,-1.666925,0.000838
-1.665640,-1.665755,-1.666579,0.000824
-1.665294,-1.665283,-1.666232,0.000949
-1.664947,-1.664939,-1.665886,0.000947
-1.664601,-1.664694,-1.665540,0.000845
-1.664255,-1.664388,-1.665193,0.000805
-1.663908,-1.663903,-1.664847,0.000944
-1.663562,-1.663641,-1.664500,0.000859
-1.663215,-1.663220,-1.664154,0.000934
-1.662869,-1.663020,-1.663808,0.000787
-1.662522,-1.662564,-1.663461,0.000897
-1.662176,-1.662207,-1.663115,0.000908
-1.661830,-1.661836,-1.662768,0.000932
-1.661483,-1.661572,-1.662422,0.000850
-1.661137,-1.661253,-1.662076,0.000823
-1.660790,-1.660839,-1.661729,0.000890
-1.660444,-1.660514,-1.661383,0.000869
-1.660098,-1.660177,-1.661036,0.000859
-1.659751,-1.659828,-1.660690,0.000862
-1.659405,-1.659478,-1.660344,0.000866
-1.659058,-1.659101,-1.659997,0.000896
-1.658712,-1.658813,-1.659651,0.000838
-1.658365,-1.658468,-1.659304,0.000836
-1.658019,-1.658162,-1.658958,0.000796
-1.657673,-1.657740,-1.658612,0.000871
-1.657326,-1.657438,-1.658265,0.000827
-1.656980,-1.657001,-1.657919,0.000918
-1.656633,-1.656646,-1.657572,0.000926
-1.656287,-1.656411,-1.657226,0.000815
-1.655941,-1.655969,-1.656879,0.000910
-1.655594,-1.655697,-1.656533,0.000836
-1.655248,-1.655284,-1.656187,0.000903
-1.654901,-1.654956,-1.655840,0.000884
-1.654555,-1.654660,-1.655494,0.000834
-1.654209,-1.654270,-1.655147,0.000877
-1.653862,-1.653935,-1.654801,0.000866
-1.653516,-1.653577,-1.654455,0.000878
-1.653169,-1.653316,-1.654108,0.000792
-1.652823,-1.652816,-1.653762,0.000946
-1.652477,-1.652563,-1.653415,0.000852
-1.652130,-1.652139,-1.653069,0.000930
-1.651784,-1.651870,-1.652722,0.000853
-1.651437,-1.651531,-1.652376,0.000845
-1.651091,-1.651235,-1.652030,0.000795
-1.650745,-1.650883,-1.651683,0.000800
-1.650398,-1.650537,-1.651337,0.000800
-1.650052,-1.650160,-1.650990,0.000830
-1.649705,-1.649737,-1.650644,0.000907
-1.649359,-1.649391,-1.650298,0.000906
-1.649012,-1.649160,-1.649951,0.000791
-1.648666,-1.648675,-1.649605,0.000930
-1.648320,-1.648424,-1.649258,0.000835
-1.647973,-1.647969,-1.648912,0.000943
-1.647627,-1.647650,-1.648566,0.000915
-1.647280,-1.647402,-1.648219,0.000818
-1.646934,-1.646939,-1.647873,0.000934
-1.646588,-1.646631,-1.647526,0.000895
-1.646241,-1.646340,-1.647180,0.000839
-1.645895,-1.645901,-1.646834,0.000933
-1.645548,-1.645579,-1.646487,0.000908
-1.645202,-1.645274,-1.646141,0.000867
-1.644855,-1.644872,-1.645794,0.000922
-1.644509,-1.644495,-1.645448,0.000953
-1.644163,-1.644218,-1.645102,0.000883
-1.643816,-1.643872,-1.644755,0.000884
-1.643470,-1.643542,-1.644409,0.000867
-1.643124,-1.643166,-1.644062,0.000896
-1.642777,-1.642871,-1.643716,0.000844
-1.642431,-1.642469,-1.643369,0.000900
-1.642084,-1.642205,-1.643023,0.000818
-1.641738,-1.641725,-1.642677,0.000951
-1.641391,-1.641533,-1.642330,0.000797
-1.641045,-1.641062,-1.641984,0.000922
-1.640699,-1.640777,-1.641637,0.000860
-1.640352,-1.640432,-1.641291,0.000859
-1.640006,-1.640122,-1.640945,0.000823
-1.639659,-1.639813,-1.640598,0.000785
-1.639313,-1.639389,-1.640252,0.000863
-1.638967,-1.638966,-1.639905,0.000939
-1.638620,-1.638723,-1.639559,0.000836
-1.638274,-1.638314,-1.639212,0.000898
-1.637927,-1.638038,-1.638866,0.000828
-1.637581,-1.637673,-1.638520,0.000847
-1.637235,-1.637326,-1.638173,0.000847
-1.636888,-1.636882,-1.637827,0.000945
-1.636542,-1.636688,-1.637480,0.000793
-1.636195,-1.636228,-1.637134,0.000906
-1.635849,-1.635963,-1.636788,0.000825
-1.635502,-1.635633,-1.636441,0.000809
-1.635156,-1.635265,-1.636095,0.000829
-1.634810,-1.634811,-1.635748,0.000937
-1.634463,-1.634557,-1.635402,0.000845
-1.634117,-1.634127,-1.635056,0.000928
-1.633770,-1.633801,-1.634709,0.000908
-1.633424,-1.633457,-1.634363,0.000906
-1.633078,-1.633163,-1.634016,0.000854
-1.632731,-1.632724,-1.633670,0.000946
-1.632385,-1.632496,-1.633324,0.000828
-1.632038,-1.632172,-1.632977,0.000805
-1.631692,-1.631693,-1.632631,0.000937
-1.631346,-1.631427,-1.632284,0.000857
-1.630999,-1.631085,-1.631938,0.000853
-1.630653,-1.630652,-1.631592,0.000939
-1.630306,-1.630437,-1.631245,0.000809
-1.629960,-1.630012,-1.630899,0.000887
-1.629614,-1.629645,-1.630552,0.000907
-1.629267,-1.629259,-1.630206,0.000947
-1.628921,-1.629005,-1.629859,0.000855
-1.628574,-1.628666,-1.629513,0.000847
-1.628228,-1.628312,-1.629167,0.000854
-1.627881,-1.627920,-1.628820,0.000901
-1.627535,-1.627604,-1.628474,0.000870
-1.627189,-1.627306,-1.628127,0.000821
-1.626842,-1.626973,-1.627781,0.000808
-1.626496,-1.626488,-1.627435,0.000947
-1.626149,-1.626184,-1.627088,0.000904
-1.625803,-1.625914,-1.626742,0.000828
-1.625457,-1.625483,-1.626395,0.000912
-1.625110,-1.625150,-1.626049,0.000899
-1.624764,-1.624915,-1.625703,0.000787
-1.624417,-1.624464,-1.625356,0.000893
-1.624071,-1.624112,-1.625010,0.000897
-1.623725,-1.623778,-1.624663,0.000885
-1.623378,-1.623402,-1.624317,0.000915
-1.623032,-1.623114,-1.623971,0.000857
-1.622685,-1.622718,-1.623624,0.000906
-1.622339,-1.622494,-1.623278,0.000784
-1.621992,-1.622117,-1.622931,0.000814
-1.621646,-1.621668,-1.622585,0.000916
-1.621300,-1.621330,-1.622238,0.000909
-1.620953,-1.621072,-1.621892,0.000820
-1.620607,-1.620701,-1.621546,0.000845
-1.620260,-1.620253,-1.621199,0.000946
-1.619914,-1.620056,-1.620853,0.000797
-1.619568,-1.619588,-1.620506,0.000919
-1.619221,-1.619246,-1.620160,0.000914
-1.618875,-1.618922,-1.619814,0.000892
-1.618528,-1.618514,-1.619467,0.000953
-1.618182,-1.618304,-1.619121,0.000817
-1.617836,-1.617930,-1.618774,0.000844
-1.617489,-1.617591,-1.618428,0.000837
-1.617143,-1.617159,-1.618081,0.000923
-1.616796,-1.616941,-1.617735,0.000794
-1.616450,-1.616546,-1.617389,0.000843
-1.616104,-1.616248,-1.617042,0.000794
-1.615757,-1.615840,-1.616696,0.000855
-1.615411,-1.615551,-1.616349,0.000799
-1.615064,-1.615220,-1.616003,0.000783
-1.614718,-1.614726,-1.615657,0.000931
-1.614371,-1.614370,-1.615310,0.000940
-1.614025,-1.614024,-1.614964,0.000940
-1.613679,-1.613706,-1.614617,0.000911
-1.613332,-1.613370,-1.614271,0.000901
-1.612986,-1.613063,-1.613925,0.000861
-1.612639,-1.612636,-1.613578,0.000942
-1.612293,-1.612331,-1.613232,0.000901
-1.611947,-1.611934,-1.612885,0.000951
-1.611600,-1.611589,-1.612539,0.000950
-1.611254,-1.611290,-1.612193,0.000902
-1.610907,-1.610932,-1.611846,0.000914
-1.610561,-1.610637,-1.611500,0.000863
-1.610215,-1.610215,-1.611153,0.000938
-1.609868,-1.609909,-1.610807,0.000898
-1.609522,-1.609610,-1.610461,0.000851
-1.609175,-1.609315,-1.610114,0.000800
-1.608829,-1.608954,-1.609768,0.000814
-1.608482,-1.608517,-1.609421,0.000904
-1.608136,-1.608216,-1.609075,0.000859
-1.607790,-1.607863,-1.608728,0.000866
-1.607443,-1.607531,-1.608382,0.000851
-1.607097,-1.607251,-1.608036,0.000785
-1.606750,-1.606832,-1.607689,0.000857
-1.606404,-1.606430,-1.607343,0.000913
-1.606058,-1.606191,-1.606996,0.000805
-1.605711,-1.605816,-1.606650,0.000834
-1.605365,-1.605440,-1.606304,0.000864
-1.605018,-1.605098,-1.605957,0.000860
-1.604672,-1.604756,-1.605611,0.000854
-1.604326,-1.604389,-1.605264,0.000875
-1.603979,-1.604002,-1.604918,0.000916
-1.603633,-1.603678,-1.604571,0.000893
-1.603286,-1.603369,-1.604225,0.000856
-1.602940,-1.602992,-1.603879,0.000887
-1.602594,-1.602662,-1.603532,0.000870
-1.602247,-1.602337,-1.603186,0.000849
-1.601901,-1.601985,-1.602839,0.000855
-1.601554,-1.601708,-1.602493,0.000785
-1.601208,-1.601274,-1.602147,0.000873
-1.600861,-1.600851,-1.601800,0.000949
-1.600515,-1.600573,-1.601454,0.000881
-1.600169,-1.600166,-1.601107,0.000941
-1.599822,-1.599939,-1.600761,0.000822
-1.599476,-1.599478,-1.600415,0.000937
-1.599129,-1.599191,-1.600068,0.000878
-1.598783,-1.598922,-1.599722,0.000800
-1.598437,-1.598438,-1.599375,0.000938
-1.598090,-1.598221,-1.599029,0.000808
-1.597744,-1.597867,-1.598683,0.000815
-1.597397,-1.597460,-1.598336,0.000876
-1.597051,-1.597068,-1.597990,0.000922
-1.596704,-1.596789,-1.597643,0.000854
-1.596358,-1.596383,-1.597297,0.000914
-1.596012,-1.596052,-1.596951,0.000898
-1.595665,-1.595652,-1.596604,0.000952
-1.595319,-1.595418,-1.596258,0.000840
-1.594972,-1.595077,-1.595911,0.000834
-1.594626,-1.594717,-1.595565,0.000848
-1.594280,-1.594307,-1.595218,0.000912
-1.593933,-1.594026,-1.594872,0.000846
-1.593587,-1.593661,-1.594526,0.000864
-1.593240,-1.593379,-1.594179,0.000801
-1.592894,-1.593030,-1.593833,0.000803
-1.592548,-1.592632,-1.593486,0.000854
-1.592201,-1.592329,-1.593140,0.000811
-1.591855,-1.591949,-1.592794,0.000845
-1.591508,-1.591601,-1.592447,0.000847
-1.591162,-1.591169,-1.592101,0.000931
-1.590816,-1.590912,-1.591754,0.000842
-1.590469,-1.590589,-1.591408,0.000819
-1.590123,-1.590229,-1.591061,0.000833
-1.589776,-1.589907,-1.590715,0.000808
-1.589430,-1.589483,-1.590369,0.000885
-1.589084,-1.589087,-1.590022,0.000935
-1.588737,-1.588877,-1.589676,0.000799
-1.588391,-1.588427,-1.589329,0.000902
-1.588044,-1.588033,-1.588983,0.000950
-1.587698,-1.587790,-1.588637,0.000846
-1.587351,-1.587427,-1.588290,0.000863
-1.587005,-1.587076,-1.587944,0.000867
-1.586659,-1.586798,-1.587597,0.000800
-1.586312,-1.586441,-1.587251,0.000810
